frame,timestamp,track_id,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,velocity_x,velocity_y,speed,acceleration_y
27,0.9,1,0,person,0.816,543.7,230.4,689.1,614.7,616.4,422.6,-8.68,10.85,13.9,-6.55
27,0.9,4,0,person,0.772,360.7,275.8,555.1,634.8,457.9,455.3,-7.18,13.12,14.96,-5.4
27,0.9,2,0,person,0.781,595.5,154.7,783.9,376.3,689.7,265.5,-4.94,11.03,12.09,-6.35
28,0.933,1,0,person,0.855,538.2,233.9,685.3,621.3,611.7,427.6,-4.67,5.03,6.87,-5.82
28,0.933,4,0,person,0.833,350.7,279.4,547.4,644.9,449.1,462.2,-8.85,6.88,11.21,-6.24
28,0.933,2,0,person,0.777,593.4,158.0,784.8,382.4,689.1,270.2,-0.62,4.72,4.76,-6.31
28,0.933,22,56,chair,0.425,250.9,454.4,450.5,648.4,350.7,551.4,-7.89,15.15,17.08,1.2
29,0.967,1,0,person,0.866,534.4,231.7,685.7,629.6,610.0,430.7,-1.71,3.04,3.49,-1.99
29,0.967,4,0,person,0.822,346.3,278.3,545.1,649.3,445.7,463.8,-3.35,1.66,3.74,-5.22
29,0.967,2,0,person,0.686,590.3,156.0,784.8,384.0,687.5,270.0,-1.56,-0.2,1.58,-4.92
29,0.967,32,0,person,0.531,377.7,176.4,503.1,379.4,440.4,277.9,0.0,0.0,0.0,0.0
29,0.967,33,0,person,0.356,124.5,277.4,275.5,573.9,200.0,425.7,0.0,0.0,0.0,0.0
29,0.967,22,56,chair,0.583,246.3,458.6,445.7,655.3,346.0,556.9,-4.65,5.53,7.23,-9.62
30,1.0,1,0,person,0.784,536.7,225.4,690.6,629.9,613.6,427.6,3.62,-3.05,4.73,-6.09
30,1.0,4,0,person,0.762,347.8,274.6,548.6,650.7,448.2,462.7,2.5,-1.16,2.76,-2.82
30,1.0,2,0,person,0.731,592.7,151.0,788.7,381.1,690.7,266.0,3.17,-3.95,5.06,-3.75
30,1.0,32,0,person,0.438,377.5,169.6,507.4,380.1,442.5,274.9,2.06,-3.0,3.64,-3.0
30,1.0,33,0,person,0.321,118.4,249.6,281.7,570.6,200.0,410.1,0.03,-15.57,15.57,-15.57
30,1.0,22,56,chair,0.45,247.9,457.8,447.2,657.5,347.5,557.7,1.48,0.71,1.64,-4.83
31,1.033,1,0,person,0.8,542.3,218.9,698.7,629.0,620.5,424.0,6.86,-3.67,7.77,-0.62
31,1.033,4,0,person,0.718,353.5,272.9,553.5,648.1,453.5,460.5,5.28,-2.14,5.7,-0.98
31,1.033,2,0,person,0.747,599.1,143.6,798.1,378.5,698.6,261.1,7.88,-4.95,9.31,-1.01
31,1.033,32,0,person,0.471,384.7,160.1,519.3,378.7,452.0,269.4,9.52,-5.47,10.98,-2.47
31,1.033,22,56,chair,0.481,255.1,453.7,453.9,655.3,354.5,554.5,7.0,-3.19,7.69,-3.9
32,1.067,1,0,person,0.822,555.0,213.0,711.8,624.7,633.4,418.8,12.88,-5.12,13.86,-1.45
